Current(A)	Field(G)
-20.000	-2799.000
-19.600	-2764.500
-19.200	-2714.200
-18.800	-2659.400
-18.400	-2603.400
-18.000	-2547.000
-17.600	-2491.000
-17.200	-2434.500
-16.800	-2377.800
-16.400	-2321.000
-16.000	-2264.700
-15.600	-2207.700
-15.200	-2150.700
-14.800	-2093.600
-14.400	-2036.800
-14.000	-1979.600
-13.600	-1922.200
-13.200	-1865.200
-12.800	-1807.800
-12.400	-1750.300
-12.000	-1692.700
-11.600	-1635.500
-11.200	-1577.800
-10.800	-1520.100
-10.400	-1462.300
-10.000	-1405.000
-9.600	-1347.200
-9.200	-1289.400
-8.800	-1231.400
-8.400	-1174.000
-8.000	-1116.000
-7.600	-1058.100
-7.200	-1000.500
-6.800	-942.500
-6.400	-884.500
-6.000	-826.400
-5.600	-768.800
-5.200	-710.800
-4.800	-652.700
-4.400	-594.600
-4.000	-537.000
-3.600	-478.900
-3.200	-420.800
-2.800	-362.700
-2.400	-305.000
-2.000	-246.900
-1.600	-188.830
-1.200	-130.740
-0.800	-73.100
-0.400	-14.995
-0.000	43.110
0.400	100.770
0.800	158.870
1.200	216.950
1.600	274.560
2.000	332.600
2.400	390.600
2.800	448.200
3.200	506.100
3.600	564.100
4.000	621.700
4.400	679.600
4.800	737.600
5.200	795.100
5.600	853.000
6.000	910.900
6.400	968.400
6.800	1026.300
7.200	1084.200
7.600	1141.600
8.000	1199.500
8.400	1257.300
8.800	1314.700
9.200	1372.400
9.600	1430.200
10.000	1487.500
10.400	1545.200
10.800	1602.900
11.200	1660.100
11.600	1717.800
12.000	1775.300
12.400	1832.500
12.800	1890.000
13.200	1947.500
13.600	2005.000
14.000	2061.900
14.400	2119.300
14.800	2176.700
15.200	2233.600
15.600	2290.800
16.000	2348.100
16.400	2404.900
16.800	2462.100
17.200	2519.200
17.600	2575.900
18.000	2632.900
18.400	2690.000
18.800	2746.500
19.200	2803.400
19.600	2860.300
