Current(A)	Field(G)
-8.000	-1146.000
-7.840	-1128.700
-7.680	-1106.600
-7.520	-1083.800
-7.360	-1060.900
-7.200	-1037.900
-7.040	-1014.900
-6.880	-992.400
-6.720	-969.300
-6.560	-946.300
-6.400	-923.200
-6.240	-900.000
-6.080	-876.800
-5.920	-853.600
-5.760	-830.400
-5.600	-807.100
-5.440	-784.300
-5.280	-761.000
-5.120	-737.700
-4.960	-714.400
-4.800	-691.000
-4.640	-667.600
-4.480	-644.200
-4.320	-620.800
-4.160	-597.400
-4.000	-573.900
-3.840	-550.900
-3.680	-527.500
-3.520	-504.000
-3.360	-480.500
-3.200	-457.000
-3.040	-433.400
-2.880	-409.900
-2.720	-386.300
-2.560	-362.800
-2.400	-339.700
-2.240	-316.100
-2.080	-292.500
-1.920	-268.900
-1.760	-245.300
-1.600	-221.700
-1.440	-198.080
-1.280	-174.450
-1.120	-150.810
-0.960	-127.170
-0.800	-103.990
-0.640	-80.330
-0.480	-56.660
-0.320	-32.960
-0.160	-9.269
0.000	14.456
0.160	38.160
0.320	61.870
0.480	85.110
0.640	108.800
0.800	132.490
0.960	156.230
1.120	179.950
1.280	203.670
1.440	227.380
1.600	251.100
1.760	274.330
1.920	298.030
2.080	321.800
2.240	345.400
2.400	369.100
2.560	392.800
2.720	416.500
2.880	439.700
3.040	463.400
3.200	487.000
3.360	510.700
3.520	534.300
3.680	558.100
3.840	581.700
4.000	605.400
4.160	628.600
4.320	652.300
4.480	676.000
4.640	699.700
4.800	723.300
4.960	747.000
5.120	770.700
5.280	794.400
5.440	817.700
5.600	841.400
5.760	865.100
5.920	888.700
6.080	912.400
6.240	936.200
6.400	959.800
6.560	983.100
6.720	1006.800
6.880	1030.600
7.040	1054.300
7.200	1078.000
7.360	1101.700
7.520	1125.400
7.680	1149.100
7.840	1172.300
